id,train_window,horizon,ridge,confidence,features,covariance_span,minimum_correlation,target_account_volatility,rebalance_band,train_return,train_final_equity,train_drawdown,train_sharpe,train_entries,train_rebalances,train_commission,train_slippage,train_borrow,train_dividends_net,train_stopped,train_max_gross
0,252,5,0.1,0.0,simple,60,0.3,0.02,0.04,-0.0026211059334355635,99737.88940665644,-0.004081067762654156,-0.6030479583129125,32,0,137.12979510875704,72.79390616874694,50.37663213259553,-18.62,False,17620.680030822754
1,252,5,0.1,0.0,full,60,0.3,0.02,0.04,-0.0064139336497880395,99358.60663502119,-0.0067872831787267884,-1.2984639070190633,55,0,232.6930686831474,122.07799203071598,82.68902718050185,-18.552000000000003,False,15238.959953308105
2,252,5,0.1,0.1,simple,60,0.3,0.02,0.04,-0.0023907231247691785,99760.92768752309,-0.0029611499587501866,-0.7585690480997,19,0,81.72305861141209,43.92429210586548,29.205193235527968,0.0,False,15627.120027542114
3,252,5,0.1,0.1,full,60,0.3,0.02,0.04,-0.0034159143570647865,99658.40856429352,-0.0034474310986071233,-1.05071276084988,25,0,105.01967660364153,54.025143954849256,35.26708366906154,0.0,False,12171.379819869995
4,252,5,0.1,0.25,simple,60,0.3,0.02,0.04,-0.0017055299781624234,99829.44700218376,-0.0021396683364340863,-0.8876509274454459,10,0,41.5396243011856,20.54723208961487,13.92577239159362,0.0,False,6641.850156784058
5,252,5,0.1,0.25,full,60,0.3,0.02,0.04,-0.002663245268872294,99733.67547311277,-0.0026947858134007685,-1.3808346181827642,9,0,37.39700730480194,18.666124123382566,13.461098675662527,0.0,False,6864.420162200928
6,252,5,1.0,0.0,simple,60,0.3,0.02,0.04,-0.0030194334398659928,99698.0566560134,-0.0033434672938370547,-1.144327316794385,16,0,66.87344411136628,34.34826410675049,22.341859767495762,0.0,False,10132.560018539429
7,252,5,1.0,0.0,full,60,0.3,0.02,0.04,-0.0027379917878960214,99726.2008212104,-0.003093401194258827,-0.918491902139027,23,0,95.61954050979618,48.2799561000824,32.819834843883775,0.0,False,8472.359874725342
8,252,5,1.0,0.1,simple,60,0.3,0.02,0.04,-0.001138698267626137,99886.13017323738,-0.0016424028820820613,-0.6563787894095323,9,0,37.34278829847336,17.91309407119751,12.36348662927706,0.0,False,5101.799991607666
9,252,5,1.0,0.1,full,60,0.3,0.02,0.04,-0.0028591250969516313,99714.08749030484,-0.0028906594468257607,-1.3050771086863493,10,0,41.57119660856248,20.990986113739012,14.860329109139641,0.0,False,7670.680192947388
10,252,5,1.0,0.25,simple,60,0.3,0.02,0.04,-0.0006375420879006777,99936.24579120993,-0.0009022281389631237,-0.8270320691854959,2,0,8.296206796150207,3.959133978652954,2.9487180976867675,0.0,False,4985.6899490356445
11,252,5,1.0,0.25,full,60,0.3,0.02,0.04,-0.0010633382169727978,99893.66617830272,-0.001640504650506247,-0.6535958354711885,7,0,29.0438523963356,13.928591981506347,10.561225494489278,0.0,False,5099.219993591309
12,252,10,0.1,0.0,simple,60,0.3,0.02,0.04,-0.0062889755117790935,99371.10244882209,-0.006782883666225814,-1.213994351617626,29,0,123.84802121147156,68.04505401382443,88.20217160075985,8.386999999999993,False,16788.33039665222
13,252,10,0.1,0.0,full,60,0.3,0.02,0.04,-0.005664008026093903,99433.5991973906,-0.007573160597190376,-0.8685350340603365,53,0,223.19436661811838,114.34881401481634,134.72675578072952,25.498,False,14274.080337524414
14,252,10,0.1,0.1,simple,60,0.3,0.02,0.04,-0.0027917111994233412,99720.82888005767,-0.004366784693700221,-0.789598443391555,15,0,64.17902788375855,34.143025857162485,49.29269762546071,-18.286000000000005,False,14001.459957122803
15,252,10,0.1,0.1,full,60,0.3,0.02,0.04,-0.002925802057491267,99707.41979425088,-0.004024165006133229,-0.6316913394670356,28,0,117.61489972122193,61.13527812004091,77.66184249820448,-19.758999999999997,False,12288.010290145874
16,252,10,0.1,0.25,simple,60,0.3,0.02,0.04,-0.0020281385062799195,99797.186149372,-0.0031346127706399773,-0.7156528477938774,8,0,33.780958587894446,18.303923943710327,28.3484425073911,0.0,False,10986.02996635437
17,252,10,0.1,0.25,full,60,0.3,0.02,0.04,-0.0014225492938928497,99857.74507061072,-0.003053239797144669,-0.4514320120072802,13,0,54.13366451183319,28.449354088211056,38.58225861332517,-18.62,False,9300.94021987915
18,252,10,1.0,0.0,simple,60,0.3,0.02,0.04,-0.004237212731100892,99576.27872688991,-0.004423793037989121,-1.2237489490037647,16,0,66.69821881193161,34.16056616325378,49.0794673066858,-18.873,False,10074.060237884521
19,252,10,1.0,0.0,full,60,0.3,0.02,0.04,-0.0031533603987282666,99684.66396012717,-0.0045964306224320906,-0.7223663119139162,25,0,104.28026911760328,53.22411413917541,66.07313429244576,10.870999999999999,False,10669.35025215149
20,252,10,1.0,0.1,simple,60,0.3,0.02,0.04,-0.0009284944163955311,99907.15055836044,-0.0020200670810403,-0.37009700852394173,8,0,33.277033992424016,17.030716007232666,24.561150410639094,0.0,False,7697.469976425171
21,252,10,1.0,0.1,full,60,0.3,0.02,0.04,-0.0033419729805945764,99665.80270194054,-0.0039501210574008905,-1.138530766550201,11,0,45.77470310956955,23.705628082656855,31.497191552932957,-18.62,False,8677.970205307007
22,252,10,1.0,0.25,simple,60,0.3,0.02,0.04,-0.001066980046959931,99893.301995304,-0.0013792274813616556,-0.935729818925796,3,0,12.448426506328584,5.9949640548706045,8.534761687291812,0.0,False,5106.760091781616
23,252,10,1.0,0.25,full,60,0.3,0.02,0.04,-0.0009002985521781026,99909.97014478219,-0.0016064462236557997,-0.45721783622965256,6,0,24.90059370975494,12.014866047668457,18.364807447720878,0.0,False,5106.760091781616
24,504,5,0.1,0.0,simple,60,0.3,0.02,0.04,-0.0032323154724738234,99676.76845275261,-0.00436114884840344,-0.9589815336151888,29,0,120.34329407749178,57.922269866180415,39.63815185233338,-46.917,False,5577.35013961792
25,504,5,0.1,0.0,full,60,0.3,0.02,0.04,-0.004840136841003262,99515.98631589967,-0.005141820546975762,-1.3172727855573692,40,0,166.69245216932296,82.8606197784424,47.553674805105544,-47.286,False,11613.679679870605
26,504,5,0.1,0.1,simple,60,0.3,0.02,0.04,-0.0021042282957192127,99789.57717042808,-0.002706651136406224,-1.251814135160477,10,0,41.48678799972535,19.850757952499386,14.495502812215726,0.0,False,5122.779954910278
27,504,5,0.1,0.1,full,60,0.3,0.02,0.04,-0.0027838361661089994,99721.6163833891,-0.0033061126281554998,-1.1644550280984518,20,0,83.11179557970046,41.50668992805481,26.06813752704776,-47.286,False,9621.009735107422
28,504,5,0.1,0.25,simple,60,0.3,0.02,0.04,6.693156042114623e-05,100006.69315604212,-0.00016949734569526864,0.15437377117996703,1,0,4.148794898281098,1.981072003173828,1.4768465937784272,0.0,False,4971.360040664673
29,504,5,0.1,0.25,full,60,0.3,0.02,0.04,-0.00013589302345540233,99986.41069765446,-0.000255814833847845,-0.2582996199660082,2,0,8.34679429391861,4.6235619560241705,2.4287605487353177,0.0,False,6608.449817657471
30,504,5,1.0,0.0,simple,60,0.3,0.02,0.04,-0.0016942509676010076,99830.5749032399,-0.0022968705330673744,-0.7769318593799875,12,0,49.792688392066964,23.918305901336666,16.744066913709254,0.0,False,5136.690046310425
31,504,5,1.0,0.0,full,60,0.3,0.02,0.04,-0.003404686703390669,99659.53132966094,-0.003620455670798939,-1.2664744449912402,22,0,91.35310777694701,44.733993884277346,27.644610425870702,-47.286,False,7754.089786529541
32,504,5,1.0,0.1,simple,60,0.3,0.02,0.04,6.693156042114623e-05,100006.69315604212,-0.00016949734569526864,0.15437377117996703,1,0,4.148794898281098,1.981072003173828,1.4768465937784272,0.0,False,4971.360040664673
33,504,5,1.0,0.1,full,60,0.3,0.02,0.04,-0.001139741006862205,99886.02589931378,-0.0012695133765453503,-1.1415084701791602,4,0,16.611867700061797,8.17509401245117,4.89708083772006,0.0,False,5755.319841384888
34,504,5,1.0,0.25,simple,60,0.3,0.02,0.04,0.0,100000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0
35,504,5,1.0,0.25,full,60,0.3,0.02,0.04,-0.00045512442954476207,99954.48755704552,-0.0005040795796974473,-1.0649533156715951,1,0,4.148555499839783,1.988279993057251,1.6756314941824297,0.0,False,4976.419862747192
36,504,10,0.1,0.0,simple,60,0.3,0.02,0.04,-0.0026244417302146994,99737.55582697853,-0.0031629614272725703,-0.8417309876712399,13,0,53.95928109888077,26.149609892272945,34.73974605011612,-18.286000000000005,False,5521.359975814819
37,504,10,0.1,0.0,full,60,0.3,0.02,0.04,-0.004699878642484112,99530.01213575159,-0.005671000534501092,-1.0239241346113233,44,0,182.60775409139632,88.1234479263306,79.19745699989635,-19.758999999999997,False,6104.759826660156
38,504,10,0.1,0.1,simple,60,0.3,0.02,0.04,-0.0012783137434567715,99872.16862565432,-0.0016829569382709186,-0.7789920312983903,5,0,20.73727699935913,9.847094034576415,13.576787705094848,0.0,False,5144.669967651367
39,504,10,0.1,0.1,full,60,0.3,0.02,0.04,-0.0011139767231839182,99888.60232768161,-0.0020885592783365103,-0.48521990987929936,17,0,70.53604190221787,33.805869940948476,28.799203590445334,-18.367,False,5310.219930648804
40,504,10,0.1,0.25,simple,60,0.3,0.02,0.04,-0.00017127144654205395,99982.87285534579,-0.00044368366189972974,-0.24079575547466536,1,0,4.1446297025680545,1.9300939918518067,2.5626329043662714,0.0,False,4882.399963378906
41,504,10,0.1,0.25,full,60,0.3,0.02,0.04,-0.001548864851953824,99845.11351480462,-0.0015925823590822175,-1.0966428968198672,3,0,12.443124598331451,5.933794003677368,9.179436969966106,0.0,False,5096.759855270386
42,504,10,1.0,0.0,simple,60,0.3,0.02,0.04,-0.0017831851794020137,99821.6814820598,-0.0022924124504654086,-0.7214186043802912,7,0,29.042995601444243,13.929592017364502,20.42593978186829,0.0,False,5220.209966659546
43,504,10,1.0,0.0,full,60,0.3,0.02,0.04,-0.0011483677951448223,99885.16322048551,-0.002873772128720087,-0.3822642667879282,19,0,78.83439878572464,37.78066985664368,36.171475963069966,-18.62,False,5154.9599533081055
44,504,10,1.0,0.1,simple,60,0.3,0.02,0.04,-0.00017127144654205395,99982.87285534579,-0.00044368366189972974,-0.24079575547466536,1,0,4.1446297025680545,1.9300939918518067,2.5626329043662714,0.0,False,4882.399963378906
45,504,10,1.0,0.1,full,60,0.3,0.02,0.04,-0.0009551533318346017,99904.48466681654,-0.0009567128684636605,-0.8639206622193836,4,0,16.59055870025635,7.887101968002319,6.107849593436882,0.0,False,5069.1299686431885
46,504,10,1.0,0.25,simple,60,0.3,0.02,0.04,0.0,100000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0
47,504,10,1.0,0.25,full,60,0.3,0.02,0.04,-0.00032542909695576494,99967.45709030442,-0.0006635055374737409,-0.33973523676706746,1,0,4.14502780057907,1.938381999206543,3.0695424678227674,0.0,False,4905.899976730347
