id,train_window,horizon,ridge,confidence,features,covariance_span,minimum_correlation,target_account_volatility,rebalance_band,hedge_mode,train_return,train_final_equity,train_drawdown,train_sharpe,train_entries,train_rebalances,train_commission,train_slippage,train_borrow,train_dividends_net,train_stopped,train_max_gross
0,252,5,0.1,0.0,simple,60,0.3,0.02,0.04,minimum_variance,-0.0026211059334355635,99737.88940665644,-0.004081067762654156,-0.6030479583129125,32,0,137.12979510875704,72.79390616874694,50.37663213259553,-18.62,False,17620.680030822754
1,252,5,0.1,0.0,full,60,0.3,0.02,0.04,minimum_variance,-0.0064139336497880395,99358.60663502119,-0.0067872831787267884,-1.2984639070190633,55,0,232.6930686831474,122.07799203071598,82.68902718050185,-18.552000000000003,False,15238.959953308105
2,252,5,0.1,0.0,kalman,60,0.3,0.02,0.04,minimum_variance,-0.0015017165075988936,99849.82834924011,-0.0021380994244891705,-0.6465674346730887,17,0,70.68490579566956,35.7982180316925,26.559079773628557,-19.758999999999997,False,7087.249927520752
3,252,5,0.1,0.1,simple,60,0.3,0.02,0.04,minimum_variance,-0.0023907231247691785,99760.92768752309,-0.0029611499587501866,-0.7585690480997,19,0,81.72305861141209,43.92429210586548,29.205193235527968,0.0,False,15627.120027542114
4,252,5,0.1,0.1,full,60,0.3,0.02,0.04,minimum_variance,-0.0034159143570647865,99658.40856429352,-0.0034474310986071233,-1.05071276084988,25,0,105.01967660364153,54.025143954849256,35.26708366906154,0.0,False,12171.379819869995
5,252,5,0.1,0.1,kalman,60,0.3,0.02,0.04,minimum_variance,-0.0011371992500547323,99886.28007499453,-0.0016260951923423583,-0.6447212340160552,11,0,45.64269109722137,21.904549989700314,17.542550175287953,-18.62,False,5101.799991607666
6,252,5,0.1,0.25,simple,60,0.3,0.02,0.04,minimum_variance,-0.0017055299781624234,99829.44700218376,-0.0021396683364340863,-0.8876509274454459,10,0,41.5396243011856,20.54723208961487,13.92577239159362,0.0,False,6641.850156784058
7,252,5,0.1,0.25,full,60,0.3,0.02,0.04,minimum_variance,-0.002663245268872294,99733.67547311277,-0.0026947858134007685,-1.3808346181827642,9,0,37.39700730480194,18.666124123382566,13.461098675662527,0.0,False,6864.420162200928
8,252,5,0.1,0.25,kalman,60,0.3,0.02,0.04,minimum_variance,-0.0013754211849008602,99862.45788150991,-0.0015573723325271738,-0.993238674979436,4,0,16.594601206092833,7.949502046966552,5.568186593251686,0.0,False,5083.349992752075
9,252,5,1.0,0.0,simple,60,0.3,0.02,0.04,minimum_variance,-0.0030194334398659928,99698.0566560134,-0.0033434672938370547,-1.144327316794385,16,0,66.87344411136628,34.34826410675049,22.341859767495762,0.0,False,10132.560018539429
