cap,initial_gross_cap,train_return,validation_return,validation_stress_return,validation_drawdown,eligible
0.0,0.0,0.0,0.0,0.0,0.0,False
0.05,5000.0,-0.00023716093307490915,0.0011940115389059702,0.0,-0.0002505370403627083,False
0.1,10000.0,-0.00029139245473064346,0.00011549248116882183,0.0015666428847969094,-0.0009317614559487541,False
0.2,20000.0,-0.0008597213167508277,2.6668980533051112e-05,0.0030459432078169257,-0.002122643361571086,False
0.35,35000.0,-0.0027528200890098997,-0.0016467198970058217,0.0029701008945204332,-0.005571637950030683,False
0.5,50000.0,-0.002569144242706045,-0.0016889041990967302,0.001378060688497884,-0.00649086583801417,False
0.75,75000.0,-0.002710980843693256,-0.0015136764615707454,0.002118799223490786,-0.006489733238446593,False
1.0,100000.0,-0.002710980843693256,-0.0015136764615707454,0.002118799223490786,-0.006489733238446593,False
