date,signal_date,event,delta_qx,delta_qy,qx,qy,px,py,commission,slippage
2024-06-14,2024-06-13,ENTRY,-95,73,-95,73,24.09000015258789,36.540000915527344,2.0686565004348756,0.9911940162658692
2024-07-01,2024-06-28,EXIT,95,-73,0,0,24.34000015258789,36.93000030517578,2.080876700668335,1.0016380073547364
2024-10-22,2024-10-21,ENTRY,79,-69,79,-69,26.13999938964844,41.81999969482422,2.086567399368286,0.9901279861450196
2024-11-05,2024-11-04,EXIT,-79,69,0,0,25.8700008392334,41.36000061035156,2.061311901988983,0.9795140216827393
2024-11-13,2024-11-12,ENTRY,78,-71,78,-71,25.510000228881836,42.13999938964844,2.0897581986999514,0.9963439949035644
2024-11-27,2024-11-26,EXIT,-78,71,0,0,26.25,42.83000183105469,2.061425,1.0176860260009766
