date,equity,qx,qy,gross,net,prediction,entry_threshold,target_weight_x,target_weight_y,desired_fraction,stopped
2020-01-02,100000.0,0,0,0.0,0.0,-0.0020399755588315816,0.0031910908659191074,0.4,0.6,0.2,False
2020-01-03,100000.0,0,0,0.0,0.0,-0.0028225664896266802,0.003196419973819837,0.4,0.6,0.2,False
2020-01-06,100000.0,0,0,0.0,0.0,-0.0027060105466128574,0.0031927290672407703,0.4,0.6,0.2,False
2020-01-07,100000.0,0,0,0.0,0.0,-0.002974135206793227,0.0031910592125022675,0.4,0.6,0.2,False
2020-01-08,100000.0,0,0,0.0,0.0,-0.0018796968825764576,0.0031902605399670605,0.4,0.6,0.2,False
2020-01-09,100000.0,0,0,0.0,0.0,-0.0020195842439682367,0.0031903485397098124,0.4,0.6,0.2,False
2020-01-10,100000.0,0,0,0.0,0.0,-0.0010721944432607144,0.00318697879274922,0.4,0.6,0.2,False
2020-01-13,100000.0,0,0,0.0,0.0,-0.0006498910223867114,0.0031827337964503385,0.4,0.6,0.2,False
2020-01-14,100000.0,0,0,0.0,0.0,0.000248233562627273,0.002655097379955896,0.4,0.6,0.2,False
2020-01-15,100000.0,0,0,0.0,0.0,0.000188579906316077,0.0026504786326669986,0.4,0.6,0.2,False
2020-01-16,100000.0,0,0,0.0,0.0,0.001240432291711463,0.002644064940871084,0.4,0.6,0.2,False
2020-01-17,100000.0,0,0,0.0,0.0,0.0007231464754467028,0.00264504773965831,0.4,0.6,0.2,False
2020-01-21,100000.0,0,0,0.0,0.0,-0.0007684685045799258,0.0031743908415449457,0.4,0.6,0.2,False
2020-01-22,100000.0,0,0,0.0,0.0,0.0013030168283759578,0.002647994724839177,0.4,0.6,0.2,False
2020-01-23,100000.0,0,0,0.0,0.0,0.00041698897893165446,0.0026469414654662687,0.4,0.6,0.2,False
2020-01-24,100000.0,0,0,0.0,0.0,-0.0002481811958960497,0.003176023866813998,0.4,0.6,0.2,False
2020-01-27,100000.0,0,0,0.0,0.0,-0.0020523791861766566,0.0031895292258066676,0.4,0.6,0.2,False
2020-01-28,100000.0,0,0,0.0,0.0,-0.001869433756644231,0.003183782429863912,0.4,0.6,0.2,False
2020-01-29,100000.0,0,0,0.0,0.0,-0.0016289249817884228,0.003186473429710409,0.4,0.6,0.2,False
2020-01-30,100000.0,0,0,0.0,0.0,-0.0020312178866807038,0.0031871830602328674,0.4,0.6,0.2,False
2020-01-31,100000.0,0,0,0.0,0.0,-0.0037551037254998157,0.004050489900866043,0.4,0.6,0.05,False
2020-02-03,100000.0,0,0,0.0,0.0,-0.002095289924603025,0.0032025511406147495,0.4,0.6,0.2,False
2020-02-04,100000.0,0,0,0.0,0.0,-0.0014763969452352864,0.0031898098952358876,0.4,0.6,0.2,False
2020-02-05,100000.0,0,0,0.0,0.0,-0.0016169812270264963,0.00318433729764198,0.4,0.6,0.2,False
2020-02-06,100000.0,0,0,0.0,0.0,-0.001983034768188929,0.003183752123383267,0.4,0.6,0.2,False
2020-02-07,100000.0,0,0,0.0,0.0,-0.002568382943409501,0.0031903242187092946,0.4,0.6,0.2,False
2020-02-10,100000.0,0,0,0.0,0.0,-0.002457541461998943,0.003187991899956599,0.4,0.6,0.2,False
2020-02-11,100000.0,0,0,0.0,0.0,-0.002337949247701513,0.0031830231695251995,0.4,0.6,0.2,False
2020-02-12,100000.0,0,0,0.0,0.0,-0.0013698640338562233,0.0031761239323101296,0.4,0.6,0.2,False
2020-02-13,100000.0,0,0,0.0,0.0,-0.0016035779024140956,0.003180480242245606,0.4,0.6,0.2,False
2020-02-14,100000.0,0,0,0.0,0.0,-0.0017001413780511566,0.0031772596335135463,0.4,0.6,0.2,False
2020-02-18,100000.0,0,0,0.0,0.0,-0.0016574179633497992,0.0031793378296868353,0.4,0.6,0.2,False
2020-02-19,100000.0,0,0,0.0,0.0,-0.0020561862229485687,0.003173517394740339,0.4,0.6,0.2,False
2020-02-20,100000.0,0,0,0.0,0.0,-0.0028295773271999054,0.003177010287553513,0.4,0.6,0.2,False
2020-02-21,100000.0,0,0,0.0,0.0,-0.0032489285528573054,0.00405516281697519,0.4,0.6,0.05,False
2020-02-24,100000.0,0,0,0.0,0.0,-0.005396826570776453,0.0035863277662294105,0.4,0.6,0.07002361807069073,False
2020-02-25,99993.01497198791,128,-140,6847.480010986328,-1353.7202453613281,-0.004063794607716596,0.004031663756038746,0.4057640697976976,0.5942359302023024,0.05,False
2020-02-26,99998.38121445467,128,-140,6772.320068359375,-1347.679931640625,-0.004045060537799528,0.004023995912077619,0.40855835524178163,0.5914416447582184,0.05,False
2020-02-27,100079.31394536822,128,-140,6562.719940185547,-1266.0798034667969,-0.002464983882982212,0.0031428960013303807,0.44660386574625516,0.5533961342537448,0.2,False
2020-02-28,100057.51037190197,128,-140,6437.96012878418,-1287.2399139404297,-0.003667570077462728,0.003928369666397161,0.44481599201092004,0.55518400798908,0.05,False
2020-03-02,100012.80544108072,128,-140,6557.560020446777,-1330.0400009155273,-0.0030776137642188404,0.0031269420071875402,0.4543432201694921,0.5456567798305079,0.2,False
2020-03-03,100034.15706889461,128,-140,6484.359901428223,-1308.0400772094727,-0.002710787366152044,0.0031273164930012984,0.45842177588089744,0.5415782241191025,0.2,False
2020-03-04,100032.5167121044,128,-140,6626.160079956055,-1309.0399627685547,-0.0020763395730906456,0.003121154775826887,0.45304665802814675,0.5469533419718533,0.2,False
2020-03-05,100015.38450052479,128,-140,6486.479927062988,-1325.5199661254883,-0.0028196982492611346,0.003159880930199135,0.4446666829741451,0.555333317025855,0.2,False
2020-03-06,100050.10257916943,128,-140,6353.839981079102,-1290.1598052978516,-0.002451381608571089,0.0031686227112838745,0.4486070514451144,0.5513929485548856,0.2,False
2020-03-09,100223.29765232382,128,-140,5579.72004699707,-1115.0799102783203,-0.0016756946775931816,0.0031941052471942503,0.48823563997983993,0.51176436002016,0.2,False
2020-03-10,100325.66018619934,0,0,0.0,0.0,0.0013444321249595265,,0.46270373339256743,0.5372962666074326,0.0,False
2020-03-11,100325.66018619934,0,0,0.0,0.0,-0.0005256248220049613,,0.44673098860749666,0.5532690113925034,0.0,False
2020-03-12,100325.66018619934,0,0,0.0,0.0,-0.0004266879306150387,,0.4616367664710979,0.5383632335289021,0.0,False
2020-03-13,100325.66018619934,0,0,0.0,0.0,0.0009042757378355035,,0.4584715304670972,0.5415284695329028,0.0,False
2020-03-16,100325.66018619934,0,0,0.0,0.0,-0.0014484659882323095,,0.44917620507993744,0.5508237949200625,0.0,False
2020-03-17,100325.66018619934,0,0,0.0,0.0,0.0023822460603368798,,0.4386486138508605,0.5613513861491395,0.0,False
2020-03-18,100325.66018619934,0,0,0.0,0.0,-0.0007475101807493501,,0.42666035718777734,0.5733396428122226,0.0,False
2020-03-19,100325.66018619934,0,0,0.0,0.0,-0.0009102431109676884,,0.42535604995270887,0.5746439500472911,0.0,False
2020-03-20,100325.66018619934,0,0,0.0,0.0,-0.0019108881495956077,,0.4241230764163199,0.57587692358368,0.0,False
2020-03-23,100325.66018619934,0,0,0.0,0.0,-0.0011044430541741286,,0.42712256758283496,0.572877432417165,0.0,False
2020-03-24,100325.66018619934,0,0,0.0,0.0,-0.0014815210287999145,,0.4421576779644625,0.5578423220355375,0.0,False
2020-03-25,100325.66018619934,0,0,0.0,0.0,-0.00217053514492924,,0.4488778802943741,0.551122119705626,0.0,False
2020-03-26,100325.66018619934,0,0,0.0,0.0,-0.0016859586145276763,,0.44979409465542053,0.5502059053445795,0.0,False
2020-03-27,100325.66018619934,0,0,0.0,0.0,-0.0024655144259186587,,0.4485802563100913,0.5514197436899086,0.0,False
2020-03-30,100325.66018619934,0,0,0.0,0.0,-0.00032273274249571633,,0.4419627827297943,0.5580372172702057,0.0,False
2020-03-31,100325.66018619934,0,0,0.0,0.0,-0.0020112969038758276,,0.4420091839607205,0.5579908160392795,0.0,False
2020-04-01,100325.66018619934,0,0,0.0,0.0,-0.003316771470999249,,0.4440451945093227,0.5559548054906773,0.0,False
2020-04-02,100325.66018619934,0,0,0.0,0.0,-0.00192122081548233,,0.44388148063532396,0.556118519364676,0.0,False
2020-04-03,100325.66018619934,0,0,0.0,0.0,-0.005315715083171097,,0.4422711601006265,0.5577288398993735,0.0,False
2020-04-06,100325.66018619934,0,0,0.0,0.0,-0.0025509147831493223,,0.43935736666445563,0.5606426333355443,0.0,False
2020-04-07,100325.66018619934,0,0,0.0,0.0,-0.0059363477763371844,,0.4381697923884756,0.5618302076115245,0.0,False
2020-04-08,100325.66018619934,0,0,0.0,0.0,-0.00708557847371107,,0.4386611483486323,0.5613388516513678,0.0,False
2020-04-09,100325.66018619934,0,0,0.0,0.0,-0.003476404715194874,,0.4360005983553813,0.5639994016446187,0.0,False
2020-04-13,100325.66018619934,0,0,0.0,0.0,-0.00398405952609686,,0.4354673544047482,0.5645326455952517,0.0,False
2020-04-14,100325.66018619934,0,0,0.0,0.0,-0.0015550122969488283,,0.43422266621209266,0.5657773337879073,0.0,False
2020-04-15,100325.66018619934,0,0,0.0,0.0,-0.002773430495161039,,0.43365335156097395,0.566346648439026,0.0,False
2020-04-16,100325.66018619934,0,0,0.0,0.0,-0.0013651777351479481,,0.43348440180630143,0.5665155981936986,0.0,False
2020-04-17,100325.66018619934,0,0,0.0,0.0,-0.003005150884913749,,0.43605348475381567,0.5639465152461843,0.0,False
2020-04-20,100325.66018619934,0,0,0.0,0.0,-0.0058359149096289895,,0.43518973640554265,0.5648102635944574,0.0,False
2020-04-21,100325.66018619934,0,0,0.0,0.0,-0.006585902022475145,,0.43486420218306954,0.5651357978169305,0.0,False
2020-04-22,100325.66018619934,0,0,0.0,0.0,-0.004675128927779866,,0.43348720176926847,0.5665127982307315,0.0,False
2020-04-23,100325.66018619934,0,0,0.0,0.0,-0.005509311133669531,,0.4332075769949962,0.5667924230050039,0.0,False
2020-04-24,100325.66018619934,0,0,0.0,0.0,-0.0048009199705215735,,0.43298855657531676,0.5670114434246832,0.0,False
2020-04-27,100325.66018619934,0,0,0.0,0.0,-0.00517803889567985,,0.43332320670052193,0.5666767932994781,0.0,False
2020-04-28,100325.66018619934,0,0,0.0,0.0,-0.006358682660281888,,0.4337174020336775,0.5662825979663225,0.0,False
2020-04-29,100325.66018619934,0,0,0.0,0.0,-0.007248271746405153,,0.435965733969468,0.564034266030532,0.0,False
2020-04-30,100325.66018619934,0,0,0.0,0.0,-0.004087628851203907,,0.4388611812336868,0.5611388187663132,0.0,False
2020-05-01,100325.66018619934,0,0,0.0,0.0,-0.0037764551987394513,,0.4372261277425955,0.5627738722574045,0.0,False
2020-05-04,100325.66018619934,0,0,0.0,0.0,-0.0029764076039892145,,0.4362675928484457,0.5637324071515544,0.0,False
2020-05-05,100325.66018619934,0,0,0.0,0.0,-0.002768041104444394,,0.43603128645651723,0.5639687135434828,0.0,False
2020-05-06,100325.66018619934,0,0,0.0,0.0,-0.0031833693044082253,,0.43567227398371194,0.564327726016288,0.0,False
2020-05-07,100325.66018619934,0,0,0.0,0.0,-0.0027045616457465377,,0.43531241539766735,0.5646875846023327,0.0,False
2020-05-08,100325.66018619934,0,0,0.0,0.0,-0.002827374679111124,,0.4356361488517595,0.5643638511482405,0.0,False
2020-05-11,100325.66018619934,0,0,0.0,0.0,-0.0027517974182820924,,0.43570215051108074,0.5642978494889193,0.0,False
2020-05-12,100325.66018619934,0,0,0.0,0.0,-0.002807650820704762,,0.43594287679290356,0.5640571232070964,0.0,False
2020-05-13,100325.66018619934,0,0,0.0,0.0,-0.0015647868092418704,,0.4377228832661236,0.5622771167338765,0.0,False
2020-05-14,100325.66018619934,0,0,0.0,0.0,-0.0016846092759575408,,0.43815667653463486,0.5618433234653651,0.0,False
2020-05-15,100325.66018619934,0,0,0.0,0.0,-0.0014067695374094732,,0.4381342191040468,0.5618657808959532,0.0,False
2020-05-18,100325.66018619934,0,0,0.0,0.0,-0.0011272917224402154,,0.4387002634812083,0.5612997365187917,0.0,False
2020-05-19,100325.66018619934,0,0,0.0,0.0,-0.0014063649371109752,,0.43859196860320987,0.5614080313967902,0.0,False
