date,signal_date,event,delta_qx,delta_qy,qx,qy,px,py,commission,slippage
2017-02-23,2017-02-22,ENTRY,-106,94,-106,94,22.3700008392334,27.600000381469727,4.142273205337524,1.9862480499267579
2017-03-09,2017-03-08,EXIT,106,-94,0,0,21.86000061035156,26.5,4.14946,1.923264025878906
2017-03-16,2017-03-15,ENTRY,-106,96,-106,96,22.450000762939453,26.8700008392334,4.142782004852295,1.9836880645751953
2017-03-30,2017-03-29,EXIT,106,-96,0,0,22.780000686645508,26.8799991607666,4.154828795166016,1.9980639968872071
