date,equity,qx,qy,gross,net,prediction,entry_threshold,target_weight_x,target_weight_y,desired_fraction,stopped
2026-01-02,100000.0,0,0,0.0,0.0,0.0,0.002778062706695559,0.486175021018009,0.513824978981991,0.2,False
2026-01-05,100000.0,0,0,0.0,0.0,0.0,0.0027769858518603974,0.48594287958385296,0.514057120416147,0.2,False
2026-01-06,100000.0,0,0,0.0,0.0,0.0,0.002781599443838647,0.48454973145333047,0.5154502685466695,0.2,False
2026-01-07,100000.0,0,0,0.0,0.0,0.0,0.0027728391246205036,0.49025098052036226,0.5097490194796377,0.2,False
2026-01-08,100000.0,0,0,0.0,0.0,0.0,0.0027668749550708374,0.4933786892906081,0.506621310709392,0.2,False
2026-01-09,100000.0,0,0,0.0,0.0,0.0,0.002768465245787322,0.4930638904996089,0.506936109500391,0.2,False
2026-01-12,100000.0,0,0,0.0,0.0,0.0,0.002767319640649758,0.49300551990826696,0.506994480091733,0.2,False
2026-01-13,100000.0,0,0,0.0,0.0,0.0,0.0027674196277874498,0.49287903479227757,0.5071209652077224,0.2,False
2026-01-14,100000.0,0,0,0.0,0.0,0.0,0.0027677879364992153,0.4917541786794403,0.5082458213205596,0.2,False
2026-01-15,100000.0,0,0,0.0,0.0,0.0,0.002767254857684194,0.49084906130093525,0.5091509386990647,0.2,False
2026-01-16,100000.0,0,0,0.0,0.0,0.0,0.00276504319081098,0.4909109991754128,0.5090890008245872,0.2,False
2026-01-20,100000.0,0,0,0.0,0.0,0.0,0.002773247178374126,0.4882437991866,0.5117562008134,0.2,False
2026-01-21,100000.0,0,0,0.0,0.0,0.0,0.002779441035652559,0.48425382342179385,0.5157461765782061,0.2,False
2026-01-22,100000.0,0,0,0.0,0.0,0.0,0.0027928679784524186,0.4739546594073324,0.5260453405926676,0.2,False
2026-01-23,100000.0,0,0,0.0,0.0,0.0,0.002794092635084206,0.4713526118012769,0.528647388198723,0.2,False
2026-01-26,100000.0,0,0,0.0,0.0,0.0,0.0027958804496249602,0.4683747005956203,0.5316252994043797,0.2,False
2026-01-27,100000.0,0,0,0.0,0.0,0.0,0.0028250157298533745,0.4501772235123114,0.5498227764876886,0.2,False
2026-01-28,100000.0,0,0,0.0,0.0,0.0,0.0028337380486730766,0.44514479657087824,0.5548552034291218,0.2,False
2026-01-29,100000.0,0,0,0.0,0.0,0.0,0.0028379836942350094,0.4420594050847367,0.5579405949152634,0.2,False
2026-01-30,100000.0,0,0,0.0,0.0,0.0,0.002737002791861397,0.4986151960956811,0.5013848039043189,0.2,False
2026-02-02,100000.0,0,0,0.0,0.0,0.0,0.002713815679663366,0.5100060716543554,0.4899939283456446,0.2,False
2026-02-03,100000.0,0,0,0.0,0.0,0.0,0.0027058145144061995,0.5123750670066106,0.4876249329933894,0.2,False
2026-02-04,100000.0,0,0,0.0,0.0,0.0,0.002705733487253742,0.5115217049463107,0.48847829505368934,0.2,False
2026-02-05,100000.0,0,0,0.0,0.0,0.0,0.002722581139881479,0.5062091412058178,0.49379085879418216,0.2,False
2026-02-06,100000.0,0,0,0.0,0.0,0.0,0.0027156497979919005,0.507626118359307,0.49237388164069296,0.2,False
2026-02-09,100000.0,0,0,0.0,0.0,0.0,0.0027035333557913124,0.5101413857216999,0.48985861427830013,0.2,False
2026-02-10,100000.0,0,0,0.0,0.0,0.0,0.002707288333387662,0.5093563380568801,0.4906436619431199,0.2,False
2026-02-11,100000.0,0,0,0.0,0.0,0.0,0.0027226276053140966,0.4965849674770208,0.5034150325229791,0.2,False
2026-02-12,100000.0,0,0,0.0,0.0,0.0,0.002699396233463026,0.5093836451619494,0.49061635483805055,0.2,False
2026-02-13,100000.0,0,0,0.0,0.0,0.0,0.0026820617616237267,0.5187932381954189,0.4812067618045811,0.2,False
2026-02-17,100000.0,0,0,0.0,0.0,0.0,0.0026730696770894138,0.5219726255103898,0.4780273744896102,0.2,False
2026-02-18,100000.0,0,0,0.0,0.0,0.0,0.0026673438814202454,0.5250558675193177,0.47494413248068235,0.2,False
2026-02-19,100000.0,0,0,0.0,0.0,0.0,0.002665071462676227,0.5261124301350416,0.4738875698649584,0.2,False
2026-02-20,100000.0,0,0,0.0,0.0,0.0,0.0026632756826652907,0.5245755471769812,0.4754244528230188,0.2,False
2026-02-23,100000.0,0,0,0.0,0.0,0.0,0.002674520949334666,0.5207200572235701,0.47927994277642993,0.2,False
2026-02-24,100000.0,0,0,0.0,0.0,0.0,0.002675095617066312,0.5198423276734265,0.48015767232657347,0.2,False
2026-02-25,100000.0,0,0,0.0,0.0,0.0,0.00268459697035102,0.5106124128787198,0.48938758712128017,0.2,False
2026-02-26,100000.0,0,0,0.0,0.0,0.0,0.0026866879610964838,0.5101538963933646,0.4898461036066354,0.2,False
2026-02-27,100000.0,0,0,0.0,0.0,0.0,0.0026853319080361025,0.5101423153261619,0.48985768467383806,0.2,False
2026-03-02,100000.0,0,0,0.0,0.0,0.0,0.00269384995945401,0.5078233499698152,0.49217665003018485,0.2,False
2026-03-03,100000.0,0,0,0.0,0.0,0.0,0.0027364920997781685,0.49147362080904256,0.5085263791909574,0.2,False
2026-03-04,100000.0,0,0,0.0,0.0,0.0,0.0027397271558064888,0.4873874138801166,0.5126125861198834,0.2,False
2026-03-05,100000.0,0,0,0.0,0.0,0.0,0.002779207941725685,0.471229947169435,0.528770052830565,0.2,False
2026-03-06,100000.0,0,0,0.0,0.0,0.0,0.002788682929233009,0.4688191310351497,0.5311808689648503,0.2,False
2026-03-09,100000.0,0,0,0.0,0.0,0.0,0.0027971318105663875,0.4606134582673174,0.5393865417326826,0.2,False
2026-03-10,100000.0,0,0,0.0,0.0,0.0,0.002800368320463189,0.4587514293858734,0.5412485706141266,0.2,False
2026-03-11,100000.0,0,0,0.0,0.0,0.0,0.002799339248824417,0.4590670763953678,0.5409329236046322,0.2,False
2026-03-12,100000.0,0,0,0.0,0.0,0.0,0.002817223875775399,0.45326958791410643,0.5467304120858936,0.2,False
2026-03-13,100000.0,0,0,0.0,0.0,0.0,0.0028206689552521765,0.45386216087003967,0.5461378391299603,0.2,False
2026-03-16,100000.0,0,0,0.0,0.0,0.0,0.0028237469880689385,0.4479231614751319,0.5520768385248681,0.2,False
2026-03-17,100000.0,0,0,0.0,0.0,0.0,0.002825285247657154,0.4466628937848749,0.5533371062151251,0.2,False
2026-03-18,100000.0,0,0,0.0,0.0,0.0,0.00283840554841689,0.44618440895055933,0.5538155910494407,0.2,False
2026-03-19,100000.0,0,0,0.0,0.0,0.0,0.0028328731485395184,0.4479613479244538,0.5520386520755463,0.2,False
2026-03-20,100000.0,0,0,0.0,0.0,0.0,0.002877306614153113,0.4346346939656397,0.5653653060343603,0.2,False
2026-03-23,100000.0,0,0,0.0,0.0,0.0,0.002877037775881589,0.42951354579740536,0.5704864542025947,0.2,False
2026-03-24,100000.0,0,0,0.0,0.0,0.0,0.002898684755444215,0.4228976391292855,0.5771023608707144,0.2,False
2026-03-25,100000.0,0,0,0.0,0.0,0.0,0.0028930934645838525,0.42336664437266924,0.5766333556273308,0.2,False
2026-03-26,100000.0,0,0,0.0,0.0,0.0,0.0029022695838304877,0.42377063004364485,0.5762293699563552,0.2,False
2026-03-27,100000.0,0,0,0.0,0.0,0.0,0.002900490707613098,0.42376675348274384,0.5762332465172562,0.2,False
2026-03-30,100000.0,0,0,0.0,0.0,0.0,0.0029021968290552915,0.4239747459429258,0.5760252540570743,0.2,False
2026-03-31,100000.0,0,0,0.0,0.0,0.0,0.0028675172125146894,0.4338705744463435,0.5661294255536564,0.2,False
2026-04-01,100000.0,0,0,0.0,0.0,0.0,0.002859681768161439,0.4351429654376784,0.5648570345623216,0.2,False
2026-04-02,100000.0,0,0,0.0,0.0,0.0,0.0028602740386842406,0.4355287282933185,0.5644712717066815,0.2,False
2026-04-06,100000.0,0,0,0.0,0.0,0.0,0.002856724823084566,0.4355723544765587,0.5644276455234414,0.2,False
2026-04-07,100000.0,0,0,0.0,0.0,0.0,0.0028557603058195014,0.43406771904307606,0.5659322809569239,0.2,False
2026-04-08,100000.0,0,0,0.0,0.0,0.0,0.002865046745577668,0.424173715113561,0.575826284886439,0.2,False
2026-04-09,100000.0,0,0,0.0,0.0,0.0,0.002867293645607643,0.42169895594583934,0.5783010440541607,0.2,False
2026-04-10,100000.0,0,0,0.0,0.0,0.0,0.0028665633468211663,0.4217071837327541,0.5782928162672458,0.2,False
2026-04-13,100000.0,0,0,0.0,0.0,0.0,0.0028594191049454254,0.42238572412464864,0.5776142758753513,0.2,False
2026-04-14,100000.0,0,0,0.0,0.0,0.0,0.0028567200551535186,0.42341989864016943,0.5765801013598306,0.2,False
