date,equity,qx,qy,gross,net,prediction,entry_threshold,target_weight_x,target_weight_y,desired_fraction,stopped
2020-01-02,100000.0,0,0,0.0,0.0,-0.0019895523633971495,0.0018941307784250887,0.5,0.5,0.05,False
2020-01-03,99996.94004530145,109,-83,4928.3899936676025,-23.38999366760254,-0.002752799564666735,0.0018889575586105275,0.5,0.5,0.05,False
2020-01-06,99996.95967501678,109,-83,4953.920053482056,-22.759870529174805,-0.0026391245988627555,0.0018913240132502405,0.5,0.5,0.05,False
2020-01-07,99990.99502208809,109,-83,4953.1400356292725,-28.520002365112305,-0.002900621874669554,0.0018922200214754772,0.5,0.5,0.05,False
2020-01-08,100007.45026184824,109,-83,4964.819887161255,-11.860036849975586,-0.0018332353831446056,0.001888101117948499,0.5,0.5,0.05,False
2020-01-09,100004.18567071763,109,-83,4970.060007095337,-14.920106887817383,-0.0019696650718541175,0.001894327419196364,0.5,0.5,0.05,False
2020-01-10,100018.720937992,109,-83,4981.480060577393,-0.1799774169921875,-0.0010456924247820162,0.0014732025014277297,0.5,0.5,0.2,False
2020-01-13,100024.446806656,109,-83,5014.380081176758,6.160068511962891,-0.000633827309323572,0.001470104454621508,0.5,0.5,0.2,False
2020-01-14,100037.8408848725,109,-83,5031.300052642822,19.759963989257812,0.00024209783742823703,0.0014687137830903076,0.5,0.5,0.2,False
2020-01-15,100033.25757073979,0,0,0.0,0.0,0.0001839186732782514,0.001467125314299584,0.5,0.5,0.2,False
2020-01-16,100033.25757073979,0,0,0.0,0.0,0.0012097718460029998,0.0014639675934652575,0.5,0.5,0.2,False
2020-01-17,100033.25757073979,0,0,0.0,0.0,0.0007052720671473922,0.001463495505429574,0.5,0.5,0.2,False
2020-01-21,100033.25757073979,0,0,0.0,0.0,-0.0007494738468136174,0.0014658396056241446,0.5,0.5,0.2,False
2020-01-22,100033.25757073979,0,0,0.0,0.0,0.0012708094463281128,0.0014654313744731611,0.5,0.5,0.2,False
2020-01-23,100033.25757073979,0,0,0.0,0.0,0.00040668203349417185,0.0014643548382107803,0.5,0.5,0.2,False
2020-01-24,100033.25757073979,0,0,0.0,0.0,-0.00024204676507424844,0.0014663080861091395,0.5,0.5,0.2,False
2020-01-27,100033.25757073979,0,0,0.0,0.0,-0.0020016494034779753,0.0018936853933082954,0.5,0.5,0.05,False
2020-01-28,100030.17981532378,109,-83,5012.040077209473,-11.11996078491211,-0.0018232259365284905,0.0018879338441026424,0.5,0.5,0.05,False
2020-01-29,100032.35332984434,109,-83,4987.860048294067,-8.740015029907227,-0.0015886619490529763,0.0018906335357319782,0.5,0.5,0.05,False
2020-01-30,100026.90802849155,109,-83,4990.919960021973,-13.979976654052734,-0.0019810111594350706,0.0018917174052333393,0.5,0.5,0.05,False
2020-01-31,100004.41234294201,109,-83,4888.950031280518,-36.269981384277344,-0.0036622867659006084,0.001889766290721206,0.5,0.5,0.05,False
2020-02-03,100013.40497755197,109,-83,4890.250011444092,-26.670127868652344,-0.0024801012558270485,0.0018882489158516742,0.5,0.5,0.05,False
2020-02-04,100023.34310437262,109,-83,4965.130102157593,-16.529935836791992,-0.0017475452322766184,0.0018886727955142316,0.5,0.5,0.05,False
2020-02-05,100020.13836908089,109,-83,4998.649978637695,-19.529945373535156,-0.0019139485780503454,0.0018912030919515778,0.5,0.5,0.05,False
2020-02-06,100012.67192674939,109,-83,5014.629978179932,-26.7901611328125,-0.0023472298325807367,0.0018895883430650447,0.5,0.5,0.05,False
