date,event,qx,qy,px,py,hedge,commission,slippage
2023-01-09,ENTRY,-443,288,23.010000228881836,33.95000076293945,1.5404039882236051,7.9216058060836785,7.988412128448486
2023-01-24,EXIT,443,-288,24.6200008392334,35.33000183105469,,7.9205024316406245,8.432680359649659
2023-01-25,ENTRY,-415,272,24.86000061035156,35.22999954223633,1.5271988083830035,7.489014015197755,7.9597840515136715
2023-02-08,EXIT,415,-272,24.350000381469727,35.290000915527344,,7.445932814941408,7.881652162933349
2023-04-17,ENTRY,422,-282,23.450000762939453,35.5099983215332,1.4987576188709764,7.640829171600341,7.963887939453125
2023-05-01,EXIT,-422,282,23.06999969482422,35.13999938964844,,7.62413239227295,7.858007879638672
2023-05-02,ENTRY,433,-289,22.850000381469727,34.58000183105469,1.5004065804159876,7.819617231750489,7.955068277740478
2023-05-16,EXIT,-433,289,22.729999542236328,34.66999816894531,,7.810525388107299,7.94468770904541
2023-05-17,ENTRY,431,-287,22.920000076293945,34.84000015258789,1.5033807537040071,7.779944802627564,7.951040030670166
2023-06-01,EXIT,-431,287,22.3700008392334,33.72999954223633,,7.758488221702576,7.728792092132569
2023-08-03,ENTRY,440,-289,22.34000015258789,34.72999954223633,1.5241300498019006,7.892218192062379,7.9466279739379875
2023-08-17,EXIT,-440,289,21.440000534057617,33.72999954223633,,7.856016014099122,7.67262804107666
2023-08-18,ENTRY,455,-298,21.459999084472656,33.72999954223633,1.528603895517817,8.133092391815184,7.9263357788085935
2023-09-01,EXIT,-455,298,22.25,34.93000030517578,,8.137425,8.213156036376954
2023-09-14,ENTRY,437,-285,22.329999923706055,35.2400016784668,1.5360041212591358,7.822604028701782,7.9206441780090335
2023-09-28,EXIT,-437,285,21.6299991607666,33.72999954223633,,7.7871385779953,7.626143801116943
2023-10-09,ENTRY,-462,300,21.459999084472656,33.13999938964844,1.5421515106185388,8.214871174621582,7.942607757568359
2023-10-13,EXIT,462,-300,21.15999984741211,33.18000030517578,,8.217240005493164,7.891968008422852
2023-10-30,ENTRY,-480,311,20.799999237060547,31.81999969482422,1.544136868574278,8.509039978027344,7.952007815551758
2023-11-13,EXIT,480,-311,21.489999771118164,33.459999084472656,,8.53436358291626,8.288503842163086
2023-12-13,ENTRY,-424,275,23.6200008392334,35.790000915527344,1.5447228705142433,7.5908928213500975,7.942852243041992
2023-12-28,EXIT,424,-275,24.489999771118164,36.70000076293945,,7.595550012588501,8.19050404510498
2023-12-29,ENTRY,-413,267,24.34000015258789,36.68000030517578,1.5483044626198992,7.403145203781127,7.938392057800293
2024-01-16,EXIT,413,-267,23.100000381469727,35.970001220703125,,7.376239419555664,7.657716193389893
2024-03-18,ENTRY,410,-266,24.079999923706055,37.720001220703125,1.5426929668593414,7.362011219482421,7.962528117370605
2024-03-28,EXIT,-410,266,24.65999984741211,38.279998779296875,,7.3666359962463375,8.117231845092773
2024-04-17,ENTRY,420,-272,23.5,36.77000045776367,1.5464554573555267,7.5200864074707034,7.948576049804688
2024-05-01,EXIT,-420,272,23.38999938964844,36.939998626708984,,7.5094279846191405,7.9485917480468755
2024-06-06,ENTRY,-401,259,25.100000381469727,37.9900016784668,1.5494576268891016,7.203906009178161,7.9618042350769045
2024-06-21,EXIT,401,-259,24.3700008392334,36.4900016784668,,7.167054626083374,7.689312308502197
2024-06-24,ENTRY,-411,264,24.459999084472656,37.08000183105469,1.5574789363712462,7.353183577423096,7.93687204284668
2024-07-09,EXIT,411,-264,24.770000457763672,37.540000915527344,,7.344633614501953,8.036412171936036
2024-07-15,ENTRY,-392,253,25.540000915527344,38.599998474121094,1.5495552180088488,7.050700821533203,7.910991989135742
2024-07-19,EXIT,392,-253,24.950000762939453,38.380001068115234,,7.032608416213989,7.796216227722168
2024-08-16,ENTRY,395,-255,24.950000762939453,39.27000045776367,1.5500518422640832,7.100831007003785,7.947640167236328
2024-08-20,EXIT,-395,255,25.260000228881836,39.45000076293945,,7.098662005424501,8.014980113983155
2024-10-17,ENTRY,371,-239,26.459999084472656,41.880001068115234,1.5540847632484938,6.700559215316772,7.930391966247559
2024-10-31,EXIT,-371,239,25.350000381469727,40.630001068115234,,6.6642910084915155,7.646168158721924
2024-11-01,ENTRY,384,-246,25.450000762939453,40.66999816894531,1.5609855854808579,6.900289172973633,7.911047937011718
2024-11-15,EXIT,-384,246,25.56999969482422,41.720001220703125,,6.889132792968749,8.032800073242187
2024-11-18,ENTRY,375,-239,25.920000076293945,42.029998779296875,1.5701433057942096,6.742710182495117,7.906067894744873
2024-12-03,EXIT,-375,239,26.290000915527344,43.0,,6.731525020599365,8.054300137329102
2024-12-05,ENTRY,368,-233,26.09000015258789,43.279998779296875,1.5810881199799312,6.61505438293457,7.874143908691406
2024-12-19,EXIT,-368,233,23.829999923706055,39.63999938964844,,6.53616639831543,7.202223931884765
2024-12-23,ENTRY,401,-251,24.100000381469727,40.150001525878906,1.5996918750880058,7.124659022979736,7.896700214385987
2025-01-08,EXIT,-401,251,24.36000061035156,40.79999923706055,,7.106101614685059,8.003664021301269
2025-03-20,ENTRY,406,-247,23.530000686645508,41.029998779296875,1.6468263648201846,7.13806458190918,7.8750359909057615
2025-04-03,EXIT,-406,247,23.25,40.619998931884766,,7.09637,7.789055894470215
2025-04-08,ENTRY,455,-274,20.81999969482422,37.16999816894531,1.6637114462610154,7.901074769897461,7.863071743774414
2025-04-10,EXIT,-455,274,22.350000381469727,38.7400016784668,,7.900155010414124,8.31360425338745
2025-05-05,ENTRY,-391,233,24.989999771118164,42.65999984741211,1.6802128966744114,6.826265394630433,7.88434794998169
2025-05-19,EXIT,391,-233,25.6299991607666,44.04999923706055,,6.855818989334106,8.11399179763794
2025-06-05,ENTRY,-371,219,26.36000061035156,45.31999969482422,1.694281951267991,6.486773613586426,7.881856063842773
2025-06-16,EXIT,371,-219,26.09000015258789,45.7599983215332,,6.501286377944947,7.880331875610352
2025-09-04,ENTRY,358,-205,26.899999618530273,49.119998931884766,1.7475284475228778,6.234175986862183,7.879919857788087
2025-09-18,EXIT,-358,205,26.88999938964844,50.18000030517578,,6.2075971868896485,7.965407937622071
2025-09-19,ENTRY,354,-201,26.88999938964844,50.72999954223633,1.7617341037560925,6.161803794479371,7.88631587677002
2025-10-03,EXIT,-354,201,27.43000030517578,51.2400016784668,,6.132613206481933,8.003784178161622
2025-10-06,ENTRY,351,-197,27.36000061035156,51.29999923706055,1.7818206228363211,6.116365990982056,7.883784025573729
2025-10-20,EXIT,-351,197,27.260000228881836,50.720001220703125,,6.084095604820252,7.824040128326416
2025-11-12,ENTRY,358,-197,26.579999923706055,51.75,1.8177336532925257,6.191685,7.884155989074706
2025-11-26,EXIT,-358,197,25.81999969482422,52.25,,6.134613593444824,7.814723956298828
2025-11-28,ENTRY,361,-196,25.850000381469727,52.70000076293945,1.843263092846577,6.229752008972167,7.864420114898682
2025-12-12,EXIT,-361,196,26.520000457763672,53.88999938964844,,6.184423209915161,8.054464018249512
2025-12-15,ENTRY,355,-190,26.420000076293945,53.79999923706055,1.8729417249307552,6.163319991302491,7.840439952850342
2025-12-30,EXIT,-355,190,26.40999984741211,54.29999923706055,,6.112532996749878,7.877019920349121
