Date,prediction,weight_x,weight_y,share_ratio_x_per_y,sigma_daily,correlation,volatility_ratio,last_label_index,training_samples,z,var_x,var_y,covariance
2015-04-08,,0.4789224840578703,0.5210775159421297,1.0923093404434598,0.004207241664833638,0.7438342470343425,,-1,0,,0.00015005548391355087,0.00012772510367199335,0.00010297700052947432
2015-04-09,,0.4783666972079635,0.5216333027920366,1.0973447598067754,0.0041848089479786564,0.7377274509693689,,-1,0,,0.00014494750970652743,0.0001234823051884666,9.869693982983836e-05
2015-04-10,,0.4786807562148961,0.521319243785104,1.101462628587574,0.004115576967775644,0.7372938582881173,,-1,0,,0.00013966301349045934,0.00011946892201640485,9.523767683765525e-05
2015-04-13,,0.46995915397010707,0.5300408460298929,1.080445484169171,0.0042650594259896705,0.7185732294774866,,-1,0,,0.00014602582742934844,0.00011527478261065037,9.322942964270718e-05
2015-04-14,,0.46972790034788403,0.530272099652116,1.0833082418822864,0.0042020921714226245,0.7206928471879472,,-1,0,,0.00014172298028492726,0.00011358822196029258,9.144016492820325e-05
2015-04-15,,0.4807119719312284,0.5192880280687716,1.150897858675074,0.004426923486917382,0.6959950051340734,,-1,0,,0.0001367959586726905,0.0001217357767510735,8.98156199848795e-05
2015-04-16,,0.47656177150125667,0.5234382284987433,1.1192487273658174,0.004487604863553363,0.6855960691518498,,-1,0,,0.0001401848677471051,0.00011757217598429467,8.801793292130482e-05
2015-04-17,,0.4668520260477886,0.5331479739522114,1.0911795751021234,0.004524020846125215,0.6857861970824024,,-1,0,,0.00014877498333648937,0.0001150741312385896,8.973100817909642e-05
2015-04-20,,0.4647339166839386,0.5352660833160614,1.0879023302177862,0.004458838321688107,0.683653457793025,,-1,0,,0.00014356464603786453,0.00011108885561461792,8.633661423712366e-05
2015-04-21,,0.4674226363939557,0.5325773636060442,1.0939517773413432,0.004435458794483232,0.6811976045613964,,-1,0,,0.00013879023465684877,0.00011059027537788808,8.439389610311707e-05
2015-04-22,,0.46786420133151996,0.53213579866848,1.0953342642862243,0.004357584115855014,0.6811292066732092,,-1,0,,0.0001340225012360559,0.00010664634485874534,8.143129664181498e-05
2015-04-23,,0.471563350891061,0.528436649108939,1.1181375339677948,0.004314078081844395,0.6856676135460841,,-1,0,,0.00013097949892843997,0.00010767028652888473,8.142602485520285e-05
2015-04-24,,0.4577939424701908,0.5422060575298092,1.0330802405698687,0.00478763828859908,0.6223404107621837,,-1,0,,0.00014343144755373262,0.00010418609659286462,7.607729746055011e-05
2015-04-27,,0.4543136966247988,0.5456863033752012,1.0139512973017155,0.004722110069779253,0.6195885179172487,,-1,0,,0.00013881850393717378,0.00010054947112493681,7.320098685954842e-05
2015-04-28,,0.45028942623168755,0.5497105737683124,0.9907586772945024,0.0046640131288660834,0.6245731430339299,,-1,0,,0.00013951135997174858,9.804975783716021e-05,7.304850871579004e-05
2015-04-29,,0.43088337439080465,0.5691166256091953,0.9393113781761601,0.0050090982963279015,0.5810139460186813,,-1,0,,0.00015740295555665443,9.459430427279803e-05,7.08966136812242e-05
2015-04-30,,0.42682255811605324,0.5731774418839468,0.9298676036599816,0.004917362650848728,0.6195891129967683,,-1,0,,0.00016792046259882457,0.00010015479162987075,8.035103123024471e-05
2015-05-01,,0.425158102262308,0.574841897737692,0.919070280049958,0.004853630752236049,0.6168302719838399,,-1,0,,0.00016300791460427007,9.664572151290194e-05,7.742145722545994e-05
2015-05-04,,0.42557394670198967,0.5744260532980103,0.9282213527049743,0.004823476385715556,0.6102264022547804,,-1,0,,0.00015744540770223553,9.421730840135381e-05,7.432267624546641e-05
2015-05-05,,0.4317070564514773,0.5682929435485227,0.9422592090087133,0.004892973140936681,0.5981463867065795,,-1,0,,0.00015202644530248167,9.643584092806895e-05,7.242463080376867e-05
2015-05-06,,0.4289616203066212,0.5710383796933788,0.9407926656970138,0.004830002319623333,0.6120812578066986,,-1,0,,0.00015707459735741006,9.55833256635374e-05,7.499859499148826e-05
2015-05-07,,0.42559773467930667,0.5744022653206933,0.9362166309685936,0.004769252020414829,0.615342288700002,,-1,0,,0.00015676755918725367,9.294707703364772e-05,7.427843232245868e-05
2015-05-08,,0.4248241014924603,0.5751758985075397,0.9314584406042105,0.004685309214442411,0.626322180632468,,-1,0,,0.00015604944394866479,9.220721169779122e-05,7.5129647216009e-05
2015-05-11,,0.41724821969071035,0.5827517803092896,0.9175691938423679,0.004717423616882965,0.6199428681276721,,-1,0,,0.00016162240575304072,8.936574246984748e-05,7.450544031226479e-05
