date,last_label_index,last_label_maturity,samples,intercept,kalman_z
2023-07-03,2127,2023-07-03,252,0.0,0.0
2023-08-01,2147,2023-08-01,252,0.0,0.0
2023-09-01,2170,2023-09-01,252,0.0,0.0
2023-10-02,2190,2023-10-02,252,0.0,0.0
2023-11-01,2212,2023-11-01,252,0.0,0.0
2023-12-01,2233,2023-12-01,252,0.0,0.0
2024-01-02,2253,2024-01-02,252,0.0,-0.0004077060391287163
2024-02-01,2274,2024-02-01,252,0.0,-0.0009842179519663006
2024-03-01,2294,2024-03-01,252,0.0,-0.0007544835092033767
2024-04-01,2314,2024-04-01,252,0.0,-0.0007776468303406895
2024-05-01,2336,2024-05-01,252,0.0,-0.0008867483646821062
2024-06-03,2358,2024-06-03,252,0.0,-0.0011347853154016242
2024-07-01,2377,2024-07-01,252,0.0,-0.0009076321403608127
2024-08-01,2399,2024-08-01,252,0.0,-0.0012009454932472173
2024-09-03,2421,2024-09-03,252,0.0,-0.0011583200420028613
2024-10-01,2441,2024-10-01,252,0.0,-0.0012350535007230414
2024-11-01,2464,2024-11-01,252,0.0,-0.0008930394691489615
2024-12-02,2484,2024-12-02,252,0.0,-0.00027969254298903357
2025-01-02,2505,2025-01-02,252,0.0,-0.00038688765550324927
2025-02-03,2525,2025-02-03,252,0.0,0.0
2025-03-03,2544,2025-03-03,252,0.0,0.0
2025-04-01,2565,2025-04-01,252,0.0,0.0
2025-05-01,2586,2025-05-01,252,0.0,0.0
2025-06-02,2607,2025-06-02,252,0.0,0.0
2025-07-01,2627,2025-07-01,252,0.0,-0.00021200814434637724
2025-08-01,2649,2025-08-01,252,0.0,0.0
2025-09-02,2670,2025-09-02,252,0.0,-3.5835021920666554e-05
2025-10-01,2691,2025-10-01,252,0.0,0.0
2025-11-03,2714,2025-11-03,252,0.0,-4.872436211191891e-05
2025-12-01,2733,2025-12-01,252,0.0,0.0
2026-01-02,2755,2026-01-02,252,0.0,0.0
2026-02-02,2775,2026-02-02,252,0.0,0.0
2026-03-02,2794,2026-03-02,252,0.0,0.0
2026-04-01,2816,2026-04-01,252,0.0,0.0
2026-05-01,2837,2026-05-01,252,0.0,-0.0002580554754529137
2026-06-01,2857,2026-06-01,252,0.0,-0.0001355095035412745
2026-07-01,2878,2026-07-01,252,0.0,-2.3477737793734712e-05
2026-08-03,2900,2026-08-03,252,0.0,0.0
2026-09-01,2921,2026-09-01,252,0.0,-0.00012925152763784435
