id,model,window,process_variance,entry,exit,stop,holding,reverting_only,cost_buffer,train_return,train_final_equity,train_drawdown,train_sharpe,train_entries,train_commission,train_slippage,train_borrow,train_dividends_net,train_max_gross,train_max_abs_net
0,kalman,20,1e-07,1.0,0.1,4.0,10,False,1.5,0.013924850935246758,101392.48509352466,-0.012647922489469887,0.39764640428913284,112,1015.8728467653467,900.8721260478972,814.6057172772655,-371.9849999999999,21417.35987854004,939.2499237060529
1,kalman,20,1e-07,1.0,0.1,4.0,10,True,1.5,0.004098513672479598,100409.85136724796,-0.010142639480073656,0.14417229956715308,65,580.5723632872964,519.6038953735352,533.7179928350578,-94.33000000000003,20924.280303955078,696.6603908538818
2,kalman,20,1e-07,1.0,0.1,4.0,30,False,1.5,0.02191477745195658,102191.47774519566,-0.00930997166008296,0.6100054001933902,76,692.7089792924694,614.23768910141,869.5689106291155,-375.51400000000007,21794.96075439453,939.2499237060529
3,kalman,20,1e-07,1.0,0.1,4.0,30,True,1.5,0.00740787039145574,100740.78703914558,-0.01132507506386371,0.24783655734123133,47,422.4776137136269,376.69799157791147,603.3497077966457,-207.64399999999998,21111.01073074341,715.8003921508789
4,kalman,20,1e-07,1.0,0.5,4.0,10,False,1.5,0.003687019287517801,100368.70192875178,-0.012486086192871837,0.11290645809124597,119,1073.6103157342527,953.724700322342,729.1303936773321,-272.38,21378.449878692627,924.8599243164044
5,kalman,20,1e-07,1.0,0.5,4.0,10,True,1.5,0.00024613872959533545,100024.61387295953,-0.00973655575553467,0.012282641731743902,68,606.8161267170526,542.9349670272827,466.17970037967166,-93.068,20924.280303955078,696.6603908538818
6,kalman,20,1e-07,1.0,0.5,4.0,30,False,1.5,0.009635936381326093,100963.5936381326,-0.007925924733672929,0.2849198146108932,88,798.977287703304,708.73122937355,749.3915306579905,-275.673,21755.40075302124,924.8599243164044
7,kalman,20,1e-07,1.0,0.5,4.0,30,True,1.5,0.002114549257535181,100211.45492575351,-0.008654071982062805,0.07785203841487681,51,458.5207866972732,408.1880473049165,493.25886721268756,-207.45399999999995,21111.01073074341,715.8003921508789
8,kalman,20,1e-07,1.5,0.1,4.0,10,False,1.5,0.015765949034561633,101576.59490345616,-0.012179555188381985,0.5035465088018422,78,704.5577004794696,628.8240922069549,655.3259003694611,-160.935,21167.11982345581,893.0399742126465
9,kalman,20,1e-07,1.5,0.1,4.0,10,True,1.5,0.007800287464991618,100780.02874649917,-0.009225368492483677,0.312008081958675,44,396.80601931507124,353.3725876949309,424.08650990938156,-250.72200000000004,20971.74008178711,712.2603931427002
10,kalman,20,1e-07,1.5,0.1,4.0,30,False,1.5,0.027011173802004462,102701.11738020045,-0.008771128897838043,0.7957542354824245,65,588.71340763752,527.4720570056913,771.8139613545047,-277.77399999999994,21332.429397583008,893.0399742126465
11,kalman,20,1e-07,1.5,0.1,4.0,30,True,1.5,0.012068477498183183,101206.84774981832,-0.0098440956460073,0.4255946462810317,39,352.7135303215026,313.89334385643,529.4178606991184,-365.76300000000003,21020.170082092285,712.2603931427002
12,kalman,20,1e-07,1.5,0.5,4.0,10,False,1.5,0.011490069111304235,101149.00691113042,-0.009809608906080736,0.3858245906945813,81,731.4594868091201,653.0709935073855,583.2990129721142,-160.64999999999998,21167.11982345581,893.0399742126465
13,kalman,20,1e-07,1.5,0.5,4.0,10,True,1.5,0.0036723462826504516,100367.23462826505,-0.010053545128397623,0.15305974995164892,44,396.3186127052497,352.8322877750396,379.412279375416,-250.27700000000004,20923.310081481934,712.2603931427002
14,kalman,20,1e-07,1.5,0.5,4.0,30,False,1.5,0.01718695614835708,101718.69561483571,-0.007223283350014431,0.537923404290335,71,641.5357980295753,574.904818634796,650.6138995424557,-276.69199999999995,21332.429397583008,893.0399742126465
15,kalman,20,1e-07,1.5,0.5,4.0,30,True,1.5,0.007014209581284625,100701.42095812847,-0.007921679313730667,0.2628174893976661,41,370.5719737104799,329.45230773925783,436.05109611511216,-365.879,21020.170082092285,708.7203941345215
16,kalman,20,1e-07,2.0,0.1,4.0,10,False,1.5,0.007352416970463738,100735.24169704638,-0.008563620316796805,0.27614484919706567,54,486.97550872890463,434.18930110511786,474.57022784559695,43.56699999999999,21118.559823989868,699.5401840209961
17,kalman,20,1e-07,2.0,0.1,4.0,10,True,1.5,-0.0007177798005397751,99928.22201994603,-0.00962173675735234,-0.03366515650895335,23,209.46885477304463,184.38093956069943,248.80658519530627,-114.74200000000003,20658.19014930725,534.0498447418213
18,kalman,20,1e-07,2.0,0.1,4.0,30,False,1.5,0.020059196844194105,102005.91968441941,-0.008506183601234452,0.6663894231770913,50,454.0315415987017,405.7067810626983,630.4249261925579,-72.78499999999997,21332.429397583008,708.4500942230243
19,kalman,20,1e-07,2.0,0.1,4.0,30,True,1.5,0.0024624857476625017,100246.24857476626,-0.01118033972199517,0.11009744932939669,23,209.7781936527634,184.92901767807007,364.57267444344075,-228.96000000000004,20809.980068206787,696.2100944519061
20,kalman,20,1e-07,2.0,0.5,4.0,10,False,1.5,0.006954236094292465,100695.42360942924,-0.0077223874812047955,0.2682871439551954,55,496.56388085062025,442.55533248443606,420.2547964067854,-93.93,21167.11982345581,699.5401840209961
21,kalman,20,1e-07,2.0,0.5,4.0,10,True,1.5,-0.0028515626455849485,99714.84373544151,-0.011736580285073739,-0.1456952880934353,23,209.21050806842808,184.05176968765252,219.03144374209893,-114.55200000000004,20658.19014930725,538.649845123291
22,kalman,20,1e-07,2.0,0.5,4.0,30,False,1.5,0.016711109399285995,101671.11093992859,-0.007160315462357736,0.5892740295729342,53,481.269054359398,429.5968385478975,493.80105420324224,-210.31999999999994,21332.429397583008,712.5300941467303
23,kalman,20,1e-07,2.0,0.5,4.0,30,True,1.5,0.0005572241200284545,100055.72241200285,-0.009606034509731631,0.02906344728404304,23,209.66739064205174,184.44246959838873,268.42587259303053,-228.77000000000004,20809.980068206787,696.2100944519061
24,kalman,20,1e-07,2.5,0.1,4.0,10,False,1.5,0.0015659624534456462,100156.59624534457,-0.00633376358342197,0.0714062622145094,34,308.39595894933706,272.1115789413452,320.8561325058089,-114.74200000000003,20971.74008178711,687.5601825714111
25,kalman,20,1e-07,2.5,0.1,4.0,10,True,1.5,0.0016312936857652005,100163.12936857653,-0.0073948337414121434,0.13438462272959875,10,89.69390360591889,80.36548215065002,99.64088700908503,0.0,20729.299812316895,669.8996810913086
26,kalman,20,1e-07,2.5,0.1,4.0,30,False,1.5,0.01566350413145079,101566.35041314509,-0.007422907305775772,0.6024082867919497,34,311.1239149391175,275.0845852943421,454.40855607338466,-231.102,21186.530082702637,695.9801845550537
27,kalman,20,1e-07,2.5,0.1,4.0,30,True,1.5,0.0001933392414166235,100019.33392414165,-0.009786906007467455,0.015007422659588354,10,89.62426512529375,80.36259827270509,168.63453518368448,-113.395,20729.299812316895,702.4200954437274
28,kalman,20,1e-07,2.5,0.5,4.0,10,False,1.5,-0.0022637926392644614,99773.62073607356,-0.007505025105001173,-0.09843430403633073,34,307.7616259387971,271.4706229942322,287.87596363229596,-114.55200000000004,20853.810081481934,687.5601825714111
29,kalman,20,1e-07,2.5,0.5,4.0,10,True,1.5,0.002104177954264097,100210.41779542642,-0.006312711462568732,0.1743713853473205,10,89.71165328914644,80.32714013557433,94.06200970537364,0.0,20570.60052871704,669.8996810913086
30,kalman,20,1e-07,2.5,0.5,4.0,30,False,1.5,0.00940002683369956,100940.00268336995,-0.005373878007214561,0.38603788418731866,34,310.39478882987976,274.0424170383454,352.6412443523667,-230.08900000000003,21138.10008239746,699.5401840209961
