pair,parameter_id,train_window,horizon,ridge,confidence,features,covariance_span,minimum_correlation,target_account_volatility,rebalance_band,hedge_mode,train_return,train_final_equity,train_drawdown,train_sharpe,train_entries,train_rebalances,train_commission,train_slippage,train_borrow,train_dividends_net,train_stopped,train_max_gross,validation_return,validation_final_equity,validation_drawdown,validation_sharpe,validation_entries,validation_rebalances,validation_commission,validation_slippage,validation_borrow,validation_dividends_net,validation_stopped,validation_max_gross,stress_return,stress_final_equity,stress_drawdown,stress_sharpe,stress_entries,stress_rebalances,stress_commission,stress_slippage,stress_borrow,stress_dividends_net,stress_stopped,stress_max_gross,eligible,score
EWA_EWC,0,504,5,0.1,0.1,simple,60,0.3,0.02,0.04,minimum_variance,-0.0017847025750108436,24955.382435624728,-0.001972309682898188,-0.8087145973747505,2,0,8.165897299995423,2.2184960212707523,1.5730643950684433,0.0,False,3279.4399852752686,0.0007165995033875383,25017.91498758469,-0.0014780657985429269,0.19168850774061327,1,0,4.113699100666047,1.511023989868164,1.2803843870293603,0.0,False,3880.490005493164,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,-0.8087145973747505
EWA_EWC,1,504,5,0.1,0.1,full,60,0.3,0.02,0.04,minimum_variance,-0.002391845454699615,24940.20386363251,-0.002601295591284636,-1.0459743258763787,4,0,16.378912597084046,5.059371977615357,2.3377693190378683,0.0,False,4770.339868545532,-0.00036852834863343453,24990.786791284165,-0.0016561624490619709,-0.112158575428486,9,0,36.670251901874536,8.928289987945554,5.624852067712233,0.0,False,3168.6700897216797,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,-1.0459743258763787
EWA_EWC,2,504,5,0.1,0.1,kalman,60,0.3,0.02,0.04,minimum_variance,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.001208507920383406,25030.212698009585,-0.0022138847113022386,0.21331429250518397,1,0,4.170684701023102,2.268079985046387,1.9286802791961253,0.0,False,5824.650009155273,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,0.0
EWA_EWC,3,504,10,0.1,0.1,simple,60,0.3,0.02,0.04,minimum_variance,-0.0025234434734587863,24936.91391316353,-0.0025234434734587863,-0.8041852529548085,2,0,8.17768820110321,2.3790240024566653,3.289435896938794,0.0,False,3220.5000858306885,0.004586253383710881,25114.65633459277,-0.005058866275300944,0.3645791983082658,10,1,42.838461598320016,11.142077972412109,15.449151776457487,-2.964000000000002,False,5723.150009155273,-0.0016746684382906718,24958.133289042733,-0.002138737088983711,-0.6049613302046031,1,0,8.16341839996338,2.1903840209960936,2.832854825372565,0.0,False,2814.5999755859375,False,-0.8041852529548085
EWA_EWC,4,504,10,0.1,0.1,full,60,0.3,0.02,0.04,minimum_variance,-0.002716844073397673,24932.07889816506,-0.004626720637677995,-0.6885566191474309,5,0,20.417371698436735,5.571931996536255,7.051711241160354,0.0,False,3109.1900329589844,-0.001488554662093633,24962.78613344766,-0.0115084901159207,-0.10313415359557881,22,0,89.76867070693967,23.554736033248894,32.57475621414184,-29.016,False,5207.820007324219,-0.0007462915280050941,24981.342711799873,-0.002566972419584146,-0.20532855932204533,4,0,32.64590599704742,8.597019983673096,11.423304617476793,-3.6409999999999982,False,2965.240083694458,False,-0.6885566191474309
EWA_EWC,5,504,10,0.1,0.1,kalman,60,0.3,0.02,0.04,minimum_variance,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,-0.00022704911677506878,24994.323772080625,-0.00315953573768446,-0.0248678101940258,14,0,57.14256020292282,15.21644397850036,21.777526090857098,0.0,False,3927.5699195861816,0.01021924871898272,25255.481217974568,-0.00227725698466974,0.7493264705607336,3,0,24.688707015724184,9.061420069885255,14.119004366103917,0.0,False,5875.400009155273,False,-0.0248678101940258
XLP_VDC,0,504,5,0.1,0.1,simple,60,0.3,0.02,0.04,minimum_variance,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,0.0
XLP_VDC,1,504,5,0.1,0.1,full,60,0.3,0.02,0.04,minimum_variance,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,0.0
XLP_VDC,2,504,5,0.1,0.1,kalman,60,0.3,0.02,0.04,minimum_variance,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,0.0
XLP_VDC,3,504,10,0.1,0.1,simple,60,0.3,0.02,0.04,minimum_variance,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,0.0
XLP_VDC,4,504,10,0.1,0.1,full,60,0.3,0.02,0.04,minimum_variance,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,0.0
XLP_VDC,5,504,10,0.1,0.1,kalman,60,0.3,0.02,0.04,minimum_variance,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,0.0
XLV_VHT,0,504,5,0.1,0.1,simple,60,0.3,0.02,0.04,minimum_variance,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,0.0
XLV_VHT,1,504,5,0.1,0.1,full,60,0.3,0.02,0.04,minimum_variance,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,0.0
XLV_VHT,2,504,5,0.1,0.1,kalman,60,0.3,0.02,0.04,minimum_variance,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,0.0
XLV_VHT,3,504,10,0.1,0.1,simple,60,0.3,0.02,0.04,minimum_variance,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,9.106816899717707e-05,25002.27670422493,-0.00021364439947491043,0.09549827215637458,1,0,4.1600193987274166,2.131737985229492,0.7015274047851562,0.0,False,5353.439888000488,0.0,25000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False,0.0,False,0.0
