fraction,initial_gross_budget,training_base_return,training_base_final_equity,training_base_drawdown,training_base_sharpe,training_base_entries,training_base_commission,training_base_slippage,training_base_borrow,training_base_dividends_net,training_base_max_gross,training_base_max_abs_net,training_stress_return,training_stress_final_equity,training_stress_drawdown,training_stress_sharpe,training_stress_entries,training_stress_commission,training_stress_slippage,training_stress_borrow,training_stress_dividends_net,training_stress_max_gross,training_stress_max_abs_net,validation_base_return,validation_base_final_equity,validation_base_drawdown,validation_base_sharpe,validation_base_entries,validation_base_commission,validation_base_slippage,validation_base_borrow,validation_base_dividends_net,validation_base_max_gross,validation_base_max_abs_net,validation_stress_return,validation_stress_final_equity,validation_stress_drawdown,validation_stress_sharpe,validation_stress_entries,validation_stress_commission,validation_stress_slippage,validation_stress_borrow,validation_stress_dividends_net,validation_stress_max_gross,validation_stress_max_abs_net,eligible
0.0,0.0,0.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.05,5000.0,0.004252433358799879,100425.24333587999,-0.001503630969909464,0.6754803866696638,35,145.22561450153356,69.53838801689146,95.51067937809141,53.158000000000015,5350.500020980835,215.5999412536621,0.0011664113619151983,100116.64113619151,-0.001994012503538034,0.1837927283393052,35,290.4309592029572,138.80638803329467,190.58253190738188,53.79100000000001,5350.500020980835,215.5999412536621,-0.002395624786570849,99760.43752134292,-0.004880192687614637,-0.27852817601457885,36,149.36533531305315,71.51681616802215,96.3623572739379,-27.258,6099.840156555176,282.37016296386673,-0.005520680791623045,99447.9319208377,-0.006589272548638392,-0.6407926821228692,36,298.7116074255753,142.77781233253478,192.30968057574975,-27.319,6099.840156555176,282.37016296386673,False
0.1,10000.0,0.009919101250525086,100991.9101250525,-0.0028473567863142035,0.7856044363117834,35,164.60887030315408,139.9754760349273,192.20656423877043,108.06100000000004,10812.280042648315,446.51998710632324,0.004945728105576919,100494.5728105577,-0.0034583523681395167,0.39035403112003,35,328.83735760612495,279.41316006774895,383.7727065585412,107.57599999999996,10812.280042648315,446.51998710632324,-0.0034203815606470567,99657.96184393529,-0.009676900496190965,-0.19646254387171272,36,167.05817182596203,143.5321243356705,193.4229123551356,-55.52499999999999,12215.360313415527,555.5703277587882,-0.008473902535958033,99152.6097464042,-0.01088758902950726,-0.49048579364860595,36,333.7911326515579,286.19622466850285,385.53394361616176,-55.728999999999985,12215.360313415527,555.5703277587882,False
0.2,20000.0,0.02003873606708151,102003.87360670815,-0.005682513616104501,0.7900160895847124,35,320.9660153061868,281.9248120697023,387.21562985025685,217.01999999999998,21669.980085372925,893.0399742126465,0.010085657598068787,101008.56575980688,-0.006873085092782283,0.39829599552776823,35,638.8000734126663,561.0293681411742,770.6848679141737,216.72000000000008,21624.56008529663,893.0399742126465,-0.00669629943002914,99330.37005699708,-0.01932870152340349,-0.18922614515244587,36,298.4224478519346,287.016612672615,386.64498169859775,-111.00599999999999,24393.260625839233,1112.3406524658185,-0.016300471546247697,98369.95284537523,-0.021123373878394025,-0.46922717318870866,36,594.134318502674,571.2248333374023,769.3540817488577,-110.53399999999998,24355.800624847412,1104.3706512451154,False
0.35,35000.0,0.035319002015122836,103531.90020151228,-0.009953856607386569,0.7915902788382683,35,566.3919583108903,497.5799941261289,683.4609414181116,382.0830000000001,38055.320150375366,1590.4499549865723,0.01772576983898122,101772.57698389812,-0.012018515332794633,0.40054334944952,35,1123.3019850222017,986.6173722496032,1355.2087748731863,381.635,38009.90015029907,1590.4499549865723,-0.011847870637217706,98815.21293627823,-0.03365478545658096,-0.18729702550810776,36,520.9081364907263,501.0339151788714,674.7661661279232,-194.269,42505.481090545654,1911.6311340331995,-0.028602376787021377,97139.76232129787,-0.036886953344913986,-0.4686196168562064,36,1033.6409557780264,993.6004623325344,1337.757363474076,-192.60899999999998,42430.56108856201,1912.8311309814417,False
0.5,50000.0,0.05077377008490602,105077.3770084906,-0.014207139155396509,0.7928709955021083,35,815.6043860153578,716.6492901821136,984.4214286084623,548.1020000000001,54531.500215530396,2266.76993560791,0.02534268135355844,102534.26813535584,-0.017137901347911155,0.40160361982910453,35,1612.1343824316407,1416.0738803627016,1945.3237497836599,546.4200000000001,54440.66021537781,2266.76993560791,-0.01705047358377254,98294.95264162275,-0.047787622211239444,-0.18480629770615736,36,741.8884414293769,713.6481076847075,960.8250108317541,-277.5759999999999,60452.181550979614,2713.3216094970667,-0.040791157243024956,95920.8842756975,-0.05245118533213056,-0.4659250272228605,36,1467.248784251862,1410.1296753208164,1897.7593580753905,-272.59799999999996,60286.66154670715,2707.751602172848,False
0.75,75000.0,0.07687346143880558,107687.34614388055,-0.02127721407597616,0.7945694722752473,35,1239.1128128228952,1089.1006462825776,1496.0775104630366,827.3470000000001,83027.91996383667,3408.0299034118652,0.03803327000022305,103803.32700002231,-0.025647113408256983,0.403386808553954,35,2434.6506568477625,2138.8789325599664,2938.422602754357,824.049,82042.52032470703,3408.0299034118652,-0.02602141477331843,97397.85852266816,-0.07098337718372139,-0.1817410771537695,36,1106.5830913933753,1064.5579985273362,1432.6366424236023,-414.46400000000006,89989.62230873108,4021.9923858642505,-0.06112675345271623,93887.32465472838,-0.07812697412163361,-0.4625885452133004,36,2176.7064127706712,2091.270360938644,2812.4015806794882,-403.487,89605.44229888916,3985.7423706054615,False
1.0,100000.0,0.10347990524654871,110347.99052465487,-0.02833114515634183,0.7965976746124972,35,1672.961552730331,1470.8735403900148,2020.618454246363,1109.9640000000002,112523.35995101929,4551.959871292114,0.05070276680623165,105070.27668062317,-0.034125960464224114,0.40500852040643637,35,3267.7608832641617,2871.1920847694396,3944.867566415968,1104.8669999999997,109826.06043434143,4551.959871292114,-0.035244975574933,96475.5024425067,-0.09375161612260963,-0.17847158987375442,36,1466.7317724565123,1411.1300653661729,1898.1179896368265,-549.688,119052.2830543518,5295.613143920891,-0.08136580707754215,91863.41929224579,-0.10339757662464966,-0.4592561751092857,36,2869.121928685647,2755.6036185375215,3703.1110049295285,-530.654,118337.06303596497,5248.223114013665,False
