date,event,qx,qy,px,py,hedge,commission,slippage
2020-01-06,ENTRY,439,-335,22.6200008392334,29.979999542236328,1.3107409416780127,4.171298995399475,3.9946960430145264
2020-01-13,EXIT,-439,335,23.030000686645508,30.170000076293945,,4.173305109043121,4.04342406539917
2020-01-15,ENTRY,-431,328,23.280000686645508,30.350000381469727,1.3154315548354765,4.0960104088783265,3.997696084213257
2020-01-22,EXIT,431,-328,23.459999084472656,30.43000030517578,,4.09443120300293,4.018459941101074
2020-01-23,ENTRY,-426,326,23.440000534057617,30.549999237060547,1.309792203462182,4.059563206825256,3.988947995758057
2020-01-28,EXIT,426,-326,22.940000534057617,30.260000228881836,,4.055942802238464,3.9274400604248045
2020-02-03,ENTRY,446,-340,22.309999465942383,29.6200008392334,1.3121172269699592,4.232124008560181,4.004212009429931
2020-02-13,EXIT,-446,340,22.989999771118164,30.5,,4.237606196937561,4.12470797958374
2020-02-21,ENTRY,436,-329,22.739999771118164,30.6299991607666,1.325278981248529,4.1273180917167664,3.998381924819946
2020-02-25,EXIT,-436,329,21.459999084472656,29.290000915527344,,4.105696788024902,3.7985939804077145
2020-02-26,ENTRY,465,-349,21.190000534057617,29.0,1.3338551181050091,4.37363,3.9948700496673584
2020-03-11,EXIT,-465,349,17.459999084472656,23.420000076293945,,4.313566987228394,3.258495920181274
2020-03-12,ENTRY,-663,491,15.119999885559082,20.299999237060547,1.352334867606554,6.07073679772377,3.99837190990448
2020-03-17,EXIT,663,-491,15.5600004196167,19.559999465942383,,6.058118792133331,3.9840480031967163
2020-03-23,ENTRY,766,-570,12.81999969482422,17.649999618530273,1.3445627302848782,6.981814993476867,3.976123909759522
2020-03-31,EXIT,-766,570,15.539999961853027,21.850000381469727,,7.037109199123382,4.871628037643433
2020-04-01,ENTRY,653,-480,15.010000228881836,20.790000915527344,1.3614952983214508,5.9643760131835935,3.956146117782593
2020-04-03,EXIT,-653,480,14.829999923706056,21.010000228881836,,5.955519698505402,3.9537580120086675
2020-04-06,ENTRY,612,-448,16.079999923706055,22.100000381469727,1.3663272838815104,5.597024005126954,3.9483520248413084
2020-04-07,EXIT,-612,448,15.630000114440918,22.260000228881836,,5.586966802101136,3.907608034515381
2020-04-08,ENTRY,608,-444,15.760000228881836,22.739999771118164,1.370308587274966,5.562896796951294,3.935728007507324
2020-04-13,EXIT,-608,444,16.56999969482422,23.200000762939453,,5.562236794433594,4.075072030639649
2020-04-15,ENTRY,-604,437,16.299999237060547,22.600000381469727,1.3826621000579737,5.500355986175537,3.944279941177368
2020-04-21,EXIT,604,-437,15.5,22.489999771118164,,5.4998438969993595,3.8380259799957277
2020-04-22,ENTRY,603,-436,16.190000534057617,23.020000457763672,1.3852879916345724,5.496101605987549,3.959858104324341
2020-05-01,EXIT,-603,436,16.190000534057617,23.739999771118164,,5.4878771096611025,4.022642044448853
2020-05-04,ENTRY,588,-417,16.559999465942383,23.959999084472656,1.4122864559002626,5.324739588546754,3.9457198608398434
2020-05-06,EXIT,-588,417,16.40999984741211,23.940000534057617,,5.31447239730835,3.9264120265960694
